,i,kernel_size,coef,SPE,Ch
0,0,3,0.1,0.16303563,0.0068818314646333255
1,1,3,0.2,0.17451808,0.013763662929266651
2,2,3,0.5,0.1672993,0.03440915732316662
3,3,3,0.75,0.1587892,0.051613735984749935
4,4,3,1.0,0.15367682,0.06881831464633324
5,5,5,0.1,0.14136352,0.011469719107722208
6,6,5,0.2,0.1442398,0.022939438215444415
7,7,5,0.5,0.14169066,0.05734859553861104
8,8,5,0.75,0.13918102,0.08602289330791656
9,9,5,1.0,0.13777928,0.11469719107722208
10,10,7,0.1,0.1363997,0.016057606750811092
11,11,7,0.2,0.13761555,0.032115213501622185
12,12,7,0.5,0.13684258,0.08028803375405545
13,13,7,0.75,0.13597679,0.12043205063108318
14,14,7,1.0,0.13543323,0.1605760675081109
15,15,9,0.1,0.1350491,0.020645494393899975
16,16,9,0.2,0.13582921,0.04129098878779995
17,17,9,0.5,0.1358307,0.10322747196949987
18,18,9,0.75,0.13555597,0.1548412079542498
19,19,9,1.0,0.13528383,0.20645494393899974
20,20,11,0.1,0.13488178,0.02523338203698886
21,21,11,0.2,0.13553233,0.05046676407397772
22,22,11,0.5,0.13596533,0.12616691018494428
23,23,11,0.75,0.13596721,0.18925036527741643
24,24,11,1.0,0.1357905,0.25233382036988855
