,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.086862914,0.019729814774819235
1,1,3,0.5,0.08560334,0.03288302462469873
2,2,3,0.7,0.08255414,0.04603623447457821
3,3,3,0.9,0.07974803,0.05918944432445771
4,4,3,1.1,0.07847678,0.0723426541743372
5,5,5,0.3,0.07844883,0.03288302462469873
6,6,5,0.5,0.07616001,0.05480504104116454
7,7,5,0.7,0.075290695,0.07672705745763037
8,8,5,0.9,0.07496408,0.09864907387409617
9,9,5,1.1,0.07480104,0.120571090290562
10,10,7,0.3,0.075644426,0.04603623447457822
11,11,7,0.5,0.0745908,0.07672705745763037
12,12,7,0.7,0.074370526,0.1074178804406825
13,13,7,0.9,0.074281685,0.13810870342373466
14,14,7,1.1,0.07424876,0.16879952640678683
15,15,9,0.3,0.074605264,0.059189444324457705
16,16,9,0.5,0.07421114,0.09864907387409617
17,17,9,0.7,0.074141175,0.13810870342373466
18,18,9,0.9,0.074142076,0.17756833297337313
19,19,9,1.1,0.07417281,0.2170279625230116
20,20,11,0.3,0.074249364,0.07234265417433719
21,21,11,0.5,0.0740903,0.120571090290562
22,22,11,0.7,0.07410087,0.16879952640678678
23,23,11,0.9,0.07416844,0.2170279625230116
24,24,11,1.1,0.07425746,0.26525639863923645
