patient,data_gen_time,Ch_CV,i_CV,kernel_size_CV,coef_CV,time_CV,Ch_REG,time_REG,model.coef0,model.coef1
patient_406,14.988572359085085,0.1514002922219331,23,11,0.6,613.9414777755737,0.2147967860274592,149.64654564857483,0.3321261352882131,2.335480517505761e-06
patient_513,11.642170667648315,0.145258484,23,11,0.6,760.7002878189087,0.1989212953218209,182.09188532829285,0.3765833497627826,1.547065885480122e-06
patient_101,20.568400382995605,0.1315555906213619,22,11,0.5,784.7756648,0.2264738272191299,197.6547601222992,0.2380261024998716,2.4245406296554067e-06
patient_31,22.146987199783325,0.1603770270942213,23,11,0.6,761.4318120479584,0.2375202621335723,201.85045671463013,0.225162689,3.2009568500983264e-06
patient_484,18.700870037078857,0.1298703531817932,22,11,0.5,872.1796786785126,0.2207309912790838,215.28694558143616,0.3130471144755692,2.6639842074339945e-06
patient_855,13.674345254898071,0.1477653743010392,23,11,0.6,652.3443183898926,0.2049289888319935,155.7430624961853,0.3845547415850403,1.9456319793302765e-06
patient_465,14.863277912139893,0.1492519444198547,23,11,0.6,554.7582516670227,0.2104316844494944,132.18239045143127,0.3754535765303078,2.286719589808704e-06
patient_643,13.531898736953735,0.123697761,22,11,0.5,901.6002569198608,0.2037411945646824,211.13081312179563,0.2929745443676895,1.4231824183337995e-06
patient_285,13.424706220626833,0.1479349229204866,23,11,0.6,531.1819784641266,0.2100941744969354,131.1297070980072,0.3927531129698338,2.3653556752982662e-06
patient_60,12.779545307159424,0.1465437492475445,23,11,0.6,481.9346344470978,0.2068072141947488,114.00324201583862,0.4461826822408365,2.406308175098112e-06
patient_686,12.273974180221558,0.1446853083486743,23,11,0.6,830.6379528045654,0.195180632,199.74853110313416,0.4103005419230668,1.4758352340404044e-06
patient_14,12.746742248535156,0.147249077,23,11,0.6,491.87486839294434,0.2102816426838222,118.45958185195924,0.404180334,2.449421078913036e-06
patient_267,12.773470878601074,0.1231378119175327,22,11,0.5,882.1125495433807,0.1978927762018114,221.52688646316528,0.3530694954631934,1.3987771543307325e-06
patient_145,16.33267903327942,0.1514002922219331,23,11,0.6,621.7141115665436,0.2151940761252816,150.61379957199097,0.3178583390559454,2.264250842969681e-06
patient_344,13.32650637626648,0.122995353,22,11,0.5,895.2360873222351,0.2008350000041835,220.7710233,0.3179859497433118,1.3968908759855402e-06
patient_474,17.858286142349243,0.155470239,23,11,0.6,637.5908475,0.2271696249227352,170.03691363334656,0.2978016679806315,3.0992577650543115e-06
patient_874,13.328497648239136,0.1492519444198547,23,11,0.6,543.4314520359039,0.2066786767534712,128.6909680366516,0.4224939631036372,2.2686576266193503e-06
patient_878,14.423612833023071,0.1516925631038592,23,11,0.6,602.3682468,0.2182248027371546,143.04376697540283,0.2950746562001116,2.3181387259240063e-06
patient_432,18.75887942314148,0.1309758154155504,22,11,0.5,636.2340440750122,0.2233154950158824,174.47404670715332,0.2989043527938305,2.7595800202596374e-06
patient_663,13.516045331954956,0.1486026215252187,23,11,0.6,555.4749042987823,0.2099808388300668,140.61098980903623,0.3942825542073569,2.365614484689696e-06
patient_308,14.525854110717772,0.1511044415774324,23,11,0.6,592.8139197826385,0.2126294990405169,138.5147261619568,0.3470836682146759,2.27340879541666e-06
patient_181,17.136858701705933,0.1289217092200862,22,11,0.5,578.8756175041199,0.2201449619490334,158.0399956703186,0.3158545569127672,2.638318053874015e-06
patient_337,12.401446104049684,0.1228518510340898,22,11,0.5,918.7304129600524,0.1992111211827182,216.99559092521667,0.3300799338137479,1.3699128107199076e-06
patient_318,9.762184143066406,0.1659558732092797,24,11,0.7,387.8065011501312,0.1990433931760953,93.66117144,0.7293925829041856,3.0093621524018158e-06
