patient,seed,depth,training_ratio,kernel_size,pi_rmse,mu_rmse,sigma_rmse
patient_3,0,149,0.01,17,0.073971525,0.041860335,0.023291724
patient_3,0,149,0.1,11,0.045678508,0.022788515,0.013797064
patient_3,0,149,0.5,9,0.030179983,0.016449854,0.011490013
patient_3,0,149,1,9,0.02460386,0.015212681,0.010860864
patient_3,1,149,0.01,17,0.07439579,0.041552138,0.022949047
patient_3,1,149,0.1,11,0.04554817,0.022968983,0.013728019
patient_3,1,149,0.5,9,0.030187277,0.016588008,0.011488745
patient_3,1,149,1,9,0.024577735,0.015218056,0.010762204
patient_3,2,149,0.01,17,0.07407427,0.041540682,0.022968449
patient_3,2,149,0.1,11,0.04530558,0.022361914,0.013482655
patient_3,2,149,0.5,9,0.030889785,0.017786294,0.012157342
patient_3,2,149,1,9,0.023701616,0.012882528,0.008102802
patient_3,3,149,0.01,17,0.073690034,0.041523635,0.022880383
patient_3,3,149,0.1,11,0.04566649,0.02295477,0.013688006
patient_3,3,149,0.5,9,0.030950801,0.017824246,0.012217501
patient_3,3,149,1,9,0.025544142,0.016639262,0.011862973
patient_3,4,149,0.01,19,0.06594607,0.041290767,0.022897739
patient_3,4,149,0.1,13,0.03929223,0.023521036,0.013692388
patient_3,4,149,0.5,11,0.026735917,0.01737154,0.011037263
patient_3,4,149,1,9,0.024598146,0.015186481,0.010790041
patient_3,5,149,0.01,17,0.07400408,0.041405372,0.023312414
patient_3,5,149,0.1,11,0.045613106,0.02281811,0.013670417
patient_3,5,149,0.5,9,0.030843891,0.017708465,0.01221473
patient_3,5,149,1,9,0.025590066,0.016730765,0.011760481
patient_3,6,149,0.01,17,0.07376865,0.041816797,0.023144312
patient_3,6,149,0.1,11,0.045658384,0.022592168,0.013690517
patient_3,6,149,0.5,9,0.030906716,0.017698772,0.012087954
patient_3,6,149,1,9,0.025554385,0.01664237,0.011799238
patient_3,7,149,0.01,17,0.07406956,0.041655436,0.023008717
patient_3,7,149,0.1,11,0.045717612,0.02276919,0.013738656
patient_3,7,149,0.5,9,0.030823123,0.017615777,0.01222231
patient_3,7,149,1,9,0.024628324,0.015205333,0.010841307
patient_3,8,149,0.01,17,0.07387291,0.041419014,0.022972303
patient_3,8,149,0.1,11,0.045466628,0.022077419,0.013405205
patient_3,8,149,0.5,9,0.030207971,0.016448673,0.011533984
patient_3,8,149,1,9,0.024656113,0.015222781,0.010920715
patient_3,9,149,0.01,17,0.07399894,0.04153016,0.023346512
patient_3,9,149,0.1,11,0.045617126,0.022749046,0.013765709
patient_3,9,149,0.5,9,0.030877698,0.017752316,0.01208973
patient_3,9,149,1,9,0.023702474,0.012907031,0.008108438
patient_3,10,149,0.01,17,0.073986754,0.041798558,0.023100277
